"codUser";"nombreLogin";"contrasena";"nombreCompleto"
1;"pepe";"9450476b384b32d8ad8b758e76c98a69";"pepe lopez"
2;"pablo";"9450476b384b32d8ad8b758e76c98a69";"pablo rico"
3;"nico";"4118af4d1a8ac07d93f11ce4f3bf1f58";"nico rodriguez"
4;"pablo";"9450476b384b32d8ad8b758e76c98a69";"pablo rico"
5;"nico";"4118af4d1a8ac07d93f11ce4f3bf1f58";"nico rodriguez"
6;"pablo";"9450476b384b32d8ad8b758e76c98a69";"pablo rico"
7;"nico";"4118af4d1a8ac07d93f11ce4f3bf1f58";"nico rodriguez"
8;"pablo";"9450476b384b32d8ad8b758e76c98a69";"pablo rico"
9;"nico";"4118af4d1a8ac07d93f11ce4f3bf1f58";"nico rodriguez"
10;"pablo";"9450476b384b32d8ad8b758e76c98a69";"pablo rico"
11;"nico";"4118af4d1a8ac07d93f11ce4f3bf1f58";"nico rodriguez"
12;"pablo";"9450476b384b32d8ad8b758e76c98a69";"pablo rico"
13;"nico";"4118af4d1a8ac07d93f11ce4f3bf1f58";"nico rodriguez"
14;"pablo";"9450476b384b32d8ad8b758e76c98a69";"pablo rico"
15;"nico";"4118af4d1a8ac07d93f11ce4f3bf1f58";"nico rodriguez"
16;"pablo";"9450476b384b32d8ad8b758e76c98a69";"pablo rico"
17;"nico";"4118af4d1a8ac07d93f11ce4f3bf1f58";"nico rodriguez"
18;"pablo";"9450476b384b32d8ad8b758e76c98a69";"pablo rico"
19;"nico";"4118af4d1a8ac07d93f11ce4f3bf1f58";"nico rodriguez"
